p0,p1,p2,p3,p4,objective,elapsed_sec
1,5762000,55500,70000, -Dqueueless=off ,-396786.0,182.82947063446045
1,1437000,74300,28200, -Dqueueless=on ,-336380.0,373.78251242637634
4,320000,74000,77600, -Dqueueless=on ,-368615.0,549.608617067337
2,7302000,39400,86500, -Dqueueless=off ,0.0,669.9672381877899
3,3578000,93500,2700, -Dqueueless=on ,0.0,797.7481174468994
2,4784000,46400,20600, -Dqueueless=on ,0.0,921.2050495147705
2,1047000,41500,92800, -Dqueueless=off ,-433750.0,1119.491685628891
2,2180000,51100,91100, -Dqueueless=off ,-437031.0,1291.1260690689087
2,764000,51100,69300, -Dqueueless=off ,-428561.0,1469.1215767860413
1,328000,52100,71200, -Dqueueless=off ,-325241.0,1668.483811378479
1,551000,51200,99900, -Dqueueless=off ,-352511.0,1854.993460893631
2,1066000,25700,97200, -Dqueueless=off ,-434554.0,2037.9081318378448
2,1056000,27000,94800, -Dqueueless=off ,-427333.0,2221.0707771778107
3,1062000,6200,92400, -Dqueueless=off ,-430450.0,2404.053442001343
3,1175000,30800,95500, -Dqueueless=off ,-440805.0,2573.213093996048
3,1121000,7700,94000, -Dqueueless=off ,-442826.0,2749.4679312705994
2,1117000,20600,98200, -Dqueueless=off ,-436946.0,2914.253890991211
2,1127000,12400,99600, -Dqueueless=off ,-436085.0,3087.1114315986633
4,1132000,5900,89900, -Dqueueless=off ,-438797.0,3264.2619574069977
2,1221000,14000,90300, -Dqueueless=off ,-436704.0,3434.3605608940125
3,1247000,13600,89000, -Dqueueless=off ,-442195.0,3601.7030589580536
4,1217000,13000,89500, -Dqueueless=off ,-430871.0,3788.8003284931183
4,1281000,18300,97300, -Dqueueless=off ,-434114.0,3969.808488368988
3,1136000,19600,88300, -Dqueueless=off ,-441971.0,4135.671205043793
4,1332000,14100,90200, -Dqueueless=off ,-434518.0,4316.82684135437
1,1356000,11700,89700, -Dqueueless=off ,-371478.0,4497.286886692047
3,1156000,28700,92900, -Dqueueless=on ,-365227.0,4690.113359451294
4,1370000,14700,88300, -Dqueueless=off ,-427901.0,4874.607031106949
2,1141000,14400,87500, -Dqueueless=on ,-366391.0,5045.782248973846
3,1466000,9400,94900, -Dqueueless=off ,-440178.0,5222.202367067337
3,1383000,7800,95600, -Dqueueless=off ,-433962.0,5393.872024536133
3,1419000,5600,95700, -Dqueueless=off ,-435904.0,5575.9395933151245
4,1676000,9600,93900, -Dqueueless=off ,-435742.0,5776.262027025223
4,2022000,21100,96200, -Dqueueless=off ,0.0,5906.303343772888
4,1608000,7300,97900, -Dqueueless=off ,-426916.0,6086.749587535858
4,1671000,1700,99000, -Dqueueless=off ,-428814.0,6272.631736755371
3,1822000,21200,91500, -Dqueueless=off ,-432592.0,6439.151390790939
3,1682000,11500,95200, -Dqueueless=off ,-437782.0,6615.363123416901
3,1734000,21100,93000, -Dqueueless=off ,-437872.0,6786.455910921097
3,1719000,7500,94800, -Dqueueless=off ,-437055.0,6967.867967128754
3,1211000,9900,52000, -Dqueueless=off ,-439325.0,7145.031535148621
4,1727000,900,91400, -Dqueueless=off ,-400382.0,7328.183252573013
2,1864000,9400,98300, -Dqueueless=off ,-436119.0,7509.196251630783
3,1756000,18100,94700, -Dqueueless=off ,-438381.0,7676.83851647377
4,1739000,15600,96800, -Dqueueless=off ,-436210.0,7840.697005987167
3,1813000,24000,95700, -Dqueueless=off ,-431246.0,8016.27959561348
3,1106000,11500,7900, -Dqueueless=off ,-436305.0,8199.062037229538
3,1825000,8500,94500, -Dqueueless=off ,-431963.0,8392.312860488892
3,1231000,10600,14700, -Dqueueless=off ,-441890.0,8574.068672180176
3,1880000,9200,98100, -Dqueueless=off ,-437121.0,8751.615669965744
3,1118000,10000,18300, -Dqueueless=off ,-433598.0,8929.055686235428
3,1877000,18300,93600, -Dqueueless=off ,-437674.0,9118.90370965004
3,1895000,17900,93000, -Dqueueless=off ,-437393.0,9298.904201745987
3,1329000,13200,76600, -Dqueueless=off ,-437012.0,9481.797075033188
4,1884000,22900,96800, -Dqueueless=off ,-434495.0,9662.894592285156
2,1898000,11600,95900, -Dqueueless=off ,-436435.0,9834.7952606678
3,1937000,6900,60700, -Dqueueless=off ,-437410.0,10011.751708984375
3,1900000,9900,39600, -Dqueueless=off ,-432330.0,10199.973613977432
3,1924000,7700,19100, -Dqueueless=off ,-439149.0,10382.323260068893
4,1929000,18400,73000, -Dqueueless=off ,-433631.0,10559.306323766708
3,1960000,17400,19000, -Dqueueless=off ,-438579.0,10737.10893201828
3,1965000,20600,57800, -Dqueueless=off ,-434958.0,10912.385020494461
4,1968000,14400,6100, -Dqueueless=off ,-437954.0,11096.466739416122
4,1970000,12600,42000, -Dqueueless=off ,-435468.0,11280.715066194534
4,1984000,2100,15200, -Dqueueless=off ,0.0,11398.775957584381
3,1696000,18100,11200, -Dqueueless=off ,-432780.0,11587.735496759415
3,1972000,17200,66800, -Dqueueless=off ,-439789.0,11789.384307146072
3,1224000,7300,15800, -Dqueueless=off ,-437213.0,11966.021897792816
3,1246000,13500,500, -Dqueueless=off ,-441993.0,12133.142573356628
4,1972000,13100,26000, -Dqueueless=off ,-431880.0,12309.538436889648
3,1122000,13700,78500, -Dqueueless=off ,-441175.0,12478.563128232956
3,1253000,3700,3800, -Dqueueless=off ,-442202.0,12652.735178947449
3,1969000,13600,89600, -Dqueueless=off ,-436555.0,12846.783385515213
4,1976000,21800,53300, -Dqueueless=off ,-431146.0,13023.446021795273
3,1181000,5300,10400, -Dqueueless=off ,-433719.0,13221.502328157425
3,1240000,6200,45300, -Dqueueless=off ,-434521.0,13420.521929502487
4,1978000,27200,86600, -Dqueueless=off ,0.0,13539.610376119614
4,1975000,22800,30900, -Dqueueless=off ,-432377.0,13705.795686483383
3,1974000,2700,99500, -Dqueueless=off ,-444846.0,13900.666378974915
3,1963000,6300,14700, -Dqueueless=off ,-433733.0,14072.471312046051
3,1891000,2400,69400, -Dqueueless=off ,-447796.0,14254.612431764603
3,1781000,800,86000, -Dqueueless=off ,-396020.0,14439.118556261063
3,1974000,19400,8800, -Dqueueless=off ,-439724.0,14625.578196525574
3,1974000,8000,52000, -Dqueueless=off ,-434598.0,14794.46699500084
3,1225000,2200,21100, -Dqueueless=off ,-439719.0,14961.922417163849
3,1305000,2000,15300, -Dqueueless=off ,-435279.0,15123.446058988571
3,1976000,12400,86800, -Dqueueless=off ,-440170.0,15303.095474243164
2,1977000,9700,97400, -Dqueueless=off ,-437255.0,15485.605558633804
3,1977000,21600,7800, -Dqueueless=off ,-437777.0,15670.261013031006
3,1203000,12200,76200, -Dqueueless=on ,-364044.0,15852.593832492828
3,1275000,27800,17400, -Dqueueless=off ,-439392.0,16040.110671520233
3,1193000,3000,54800, -Dqueueless=off ,-448441.0,16211.496443271637
4,1250000,2100,16300, -Dqueueless=off ,-436238.0,16380.525111436844
4,1894000,2100,28000, -Dqueueless=off ,-437978.0,16553.70253109932
4,343000,3300,66800, -Dqueueless=off ,-432008.0,16732.581577062607
3,1977000,10700,55400, -Dqueueless=off ,-437224.0,16916.32603430748
3,417000,2800,42800, -Dqueueless=off ,-425335.0,17094.513501167297
3,1977000,21600,76000, -Dqueueless=off ,-439262.0,17273.589481830597
3,1197000,3800,83800, -Dqueueless=off ,-437248.0,17443.20426440239
4,1977000,2200,10700, -Dqueueless=off ,-444555.0,17630.956854581833
3,1274000,28000,86500, -Dqueueless=off ,-440256.0,17802.632941246033
3,1977000,7300,43500, -Dqueueless=off ,-433099.0,17982.147218704224
3,1124000,27400,28600, -Dqueueless=off ,-442346.0,18142.76399230957
4,1263000,27600,84000, -Dqueueless=off ,-438223.0,18326.40854859352
3,1517000,2100,2900, -Dqueueless=off ,-440929.0,18491.8355615139
3,1478000,27500,6500, -Dqueueless=off ,-435436.0,18679.398841381073
3,1215000,38600,8000, -Dqueueless=off ,-439324.0,18859.072879314423
3,1373000,2000,87700, -Dqueueless=off ,-438038.0,19050.331128835678
3,1174000,41800,81700, -Dqueueless=off ,-439547.0,19223.73752975464
4,1097000,39800,55000, -Dqueueless=off ,-435198.0,19382.103947401047
4,1230000,39800,86900, -Dqueueless=off ,-433075.0,19558.558495521545
3,1117000,2100,5500, -Dqueueless=off ,-441428.0,19738.783092975616
2,1571000,45400,99700, -Dqueueless=off ,-428658.0,19927.666476249695
3,1964000,41400,62700, -Dqueueless=off ,-437645.0,20118.56641602516
3,1698000,42400,30800, -Dqueueless=off ,-435445.0,20279.137607097626
3,1341000,46700,20500, -Dqueueless=off ,-434895.0,20461.157778024673
2,1915000,2800,21200, -Dqueueless=off ,-447700.0,20632.17971611023
2,1780000,3000,56600, -Dqueueless=off ,-434449.0,20811.244665384293
2,1248000,2500,31000, -Dqueueless=off ,-438136.0,21000.160467863083
4,1966000,44600,55600, -Dqueueless=off ,-434628.0,21161.25553369522
2,1319000,2300,26000, -Dqueueless=off ,-438116.0,21337.226234912872
3,1977000,26100,93200, -Dqueueless=off ,-436332.0,21525.64289546013
4,1962000,16400,11700, -Dqueueless=off ,0.0,21613.951107740402
